name,team,position,made_pat,miss_pat,made_under20,made20s,made30s,made40s,made50_plus,miss_under20,miss20s,miss30s,miss40s,miss50_plus,points,birthdate
Stephen Gostkowski,NE,K,51,0,1,11,10,12,1,0,0,1,1,0,168,1/28/84
Cody Parkey,PHI,K,54,0,0,10,14,4,4,0,0,2,2,0,158,2/19/92
Adam Vinatieri,IND,K,50,0,0,10,10,7,3,0,0,0,1,0,152,12/28/72
Dan Carpenter,BUF,K,31,1,0,9,12,7,6,0,0,1,1,2,149,11/25/85
Mason Crosby,GB,K,53,2,0,7,11,5,4,0,0,1,2,3,142,9/3/84
Dan Bailey,DAL,K,56,0,0,6,6,8,5,0,0,1,1,2,147,1/26/88
Matt Bryant,ATL,K,40,0,0,10,4,8,7,0,0,0,0,3,149,5/29/75
Randy Bullock,HOU,K,40,0,0,6,13,7,4,0,1,2,1,1,141,12/16/89
Steven Hauschka,SEA,K,41,0,0,10,10,9,2,0,0,0,4,2,143,6/29/85
Justin Tucker,BAL,K,42,0,0,10,11,4,4,0,0,0,0,5,141,11/21/89
Caleb Sturgis,MIA,K,41,0,1,12,7,6,3,0,0,1,4,3,135,8/9/89
Shaun Suisham,PIT,K,45,0,0,12,6,10,1,0,1,0,0,2,143,12/29/81
Nick Folk,NYJ,K,23,0,0,13,7,9,3,0,0,0,4,3,130,11/5/84
Josh Brown,NYG,K,44,0,1,6,9,4,4,0,1,0,1,0,126,4/29/79
Graham Gano,CAR,K,34,0,0,7,12,9,1,0,0,1,3,2,128,4/9/87
Phil Dawson,SF,K,33,0,0,6,8,5,6,0,0,1,2,3,122,1/23/75
Chandler Catanzaro,ARI,K,27,0,0,5,12,10,2,0,0,2,1,1,125,2/26/91
Mike Nugent,CIN,K,39,0,0,6,10,10,0,0,0,2,2,3,123,3/2/82
Blair Walsh,MIN,K,29,0,2,4,8,7,5,0,1,2,2,4,119,1/8/90
Greg Zuerlein,STL,K,34,1,1,6,10,2,5,0,1,2,1,2,113,12/27/87
Cairo Santos,KC,K,38,0,1,10,6,7,1,0,0,1,3,1,118,11/12/91
Nick Novak,SD,K,40,0,1,6,8,4,3,0,0,1,2,1,113,8/21/81
Carey Spear,CLE,K,0,0,0,0,0,0,0,0,0,0,0,0,0,1/5/92
Kai Forbath,WAS,K,31,1,0,11,6,7,0,0,0,1,1,1,107,9/2/87
Patrick Murray,TB,K,31,0,0,2,7,6,5,0,1,1,1,1,104,6/22/91
Billy Cundiff,FA,K,28,0,0,6,10,5,1,0,0,3,2,2,96,3/30/80
Sebastian Janikowski,OAK,K,28,0,0,2,5,9,3,0,0,0,1,2,99,3/2/78
Matt Prater,DET,K,21,0,0,8,4,6,3,0,0,1,2,2,93,8/10/84
Josh Scobee,JAC,K,23,0,0,3,7,7,3,0,0,1,2,3,93,6/23/82
Ryan Succop,TEN,K,27,0,0,5,7,5,2,0,0,0,3,0,90,9/19/86
Brandon McManus,FA,K,41,0,0,5,2,2,0,0,0,1,1,2,68,7/25/91
Connor Barth,DEN,K,15,0,2,4,5,3,1,0,0,0,1,0,64,4/11/86
Robbie Gould,CHI,K,28,1,0,4,2,3,0,0,0,1,1,1,55,12/30/81
Dustin Hopkins,NO,K,0,0,0,0,0,0,0,0,0,0,0,0,0,10/1/90
